Customer_ID,Age,Gender,Location,Device_Type,Traffic_Source,Session_Count,Return_Customer,Time_of_Day,Time_Spent_on_Site,Pages_Viewed,Product_Category,Product_Category_2,Discount_Code_Used,Payment_Method,Items_in_Cart,Added_to_Cart,Abandonment_Point,Converted,Order_Value
CUST00025,34,Female,Abu Dhabi,Mobile,Email,2,Yes,Night,17.09,4,Electronics,Books,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00026,34,Male,Riyadh,Mobile,Social Media,1,No,Evening,17.89,5,Electronics,Sports,No,Digital Wallet,1.0,Yes,None,Yes,340.49
CUST00027,43,Female,Dubai,Mobile,Direct,7,Yes,Evening,10.5,3,Grocery,Beauty,No,Digital Wallet,,No,Product Page,No,
CUST00028,33,Female,Dubai,Desktop,Direct,4,Yes,Afternoon,13.1,4,Apparel,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00029,34,Female,Dubai,Mobile,Paid Search,1,No,Evening,26.5,6,Grocery,None,No,Digital Wallet,3.0,Yes,Cart,No,
CUST00030,39,Female,Dubai,Mobile,Social Media,3,Yes,Evening,18.66,5,Apparel,Sports,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00031,28,Female,Sharjah,Desktop,Social Media,1,No,Evening,25.41,7,Electronics,Books,No,Credit/Debit Card,1.0,Yes,Payment Gateway,No,
CUST00032,34,Male,Mumbai,Mobile,Organic,5,Yes,Afternoon,11.4,3,Electronics,None,No,Cash on Delivery,3.0,Yes,Cart,No,
CUST00033,41,Female,Riyadh,Desktop,Social Media,1,No,Evening,20.715,7,Electronics,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00034,18,Male,Dubai,Tablet,Paid Search,3,Yes,Evening,44.64,11,Books,None,No,BNPL,2.0,Yes,None,Yes,48.55
CUST00035,27,Female,Sharjah,Mobile,Social Media,1,No,Afternoon,11.39,3,Grocery,Beauty,No,Digital Wallet,,No,Product Page,No,
CUST00036,34,Male,Sharjah,Desktop,Social Media,2,Yes,Night,17.79,3,Grocery,Home & Kitchen,No,Digital Wallet,2.0,Yes,None,Yes,62.47
CUST00037,42,Female,Dubai,Desktop,Referral,1,No,Morning,16.51,4,Sports,Apparel,No,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00038,59,Male,London,Desktop,Email,3,Yes,Afternoon,53.11,13,Sports,None,No,Digital Wallet,,No,Product Page,No,
CUST00039,33,Male,Sharjah,Desktop,Social Media,2,Yes,Morning,12.03,5,Beauty,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00040,25,Male,Mumbai,Mobile,Paid Search,3,Yes,Morning,24.12,3,Sports,None,No,Digital Wallet,2.0,Yes,Payment Gateway,No,
CUST00041,24,Other,Abu Dhabi,Desktop,Paid Search,3,Yes,Night,21.62,5,Electronics,None,Yes,BNPL,,No,Product Page,No,
CUST00042,33,Other,Riyadh,Mobile,Social Media,2,Yes,Night,6.4,2,Apparel,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00043,54,Male,Dubai,Mobile,Email,5,Yes,Evening,18.96,7,Beauty,Grocery,Yes,Digital Wallet,3.0,Yes,Checkout,No,
CUST00044,24,Other,Sharjah,Mobile,Social Media,1,No,Night,6.25,2,Books,Grocery,No,Digital Wallet,,No,Product Page,No,
CUST00045,35,Female,Dubai,Mobile,Organic,4,Yes,Night,11.77,1,Beauty,None,No,BNPL,,No,Product Page,No,
CUST00046,40,Female,Muscat,Mobile,Direct,3,Yes,Evening,34.47,8,Sports,Books,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00047,31,Male,Kuwait City,Desktop,Direct,3,Yes,Night,13.11,1,Home & Kitchen,Beauty,No,Digital Wallet,3.0,Yes,Cart,No,
CUST00048,46,Female,Muscat,Desktop,Paid Search,2,Yes,Afternoon,28.94,7,Beauty,None,Yes,BNPL,,No,Product Page,No,
CUST00049,49,Female,Doha,Mobile,Paid Search,1,No,Evening,6.11,6,Grocery,None,No,Cash on Delivery,2.0,Yes,Cart,No,
CUST00050,26,Female,Muscat,Tablet,Social Media,1,No,Night,116.15347444496469,51,Electronics,Sports,Yes,Cash on Delivery,,No,Product Page,No,
CUST00051,43,Female,Dubai,Desktop,Organic,4,Yes,Morning,19.2,5,Books,None,No,Digital Wallet,,No,Product Page,No,
CUST00052,41,Female,Sharjah,Mobile,Referral,1,No,Night,15.94,3,Home & Kitchen,None,No,Digital Wallet,1.0,Yes,None,Yes,47.71
CUST00053,35,Female,Doha,Mobile,Paid Search,1,No,Afternoon,7.74,4,Beauty,Grocery,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00054,30,Male,Riyadh,Desktop,Paid Search,1,No,Night,5.29,3,Books,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00055,50,Male,Doha,Mobile,Direct,3,Yes,Afternoon,5.89,2,Apparel,Toys,Yes,Digital Wallet,,No,Product Page,No,
CUST00056,27,Male,Dubai,Desktop,Email,4,Yes,Morning,14.92,3,Apparel,None,Yes,Credit/Debit Card,1.0,Yes,None,Yes,126.37
CUST00057,32,Male,Dubai,Desktop,Referral,2,Yes,Morning,22.53,4,Home & Kitchen,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00058,42,Female,Cairo,Mobile,Social Media,1,No,Night,11.91,4,Electronics,Sports,No,Cash on Delivery,,No,Product Page,No,
CUST00059,42,Female,Riyadh,Mobile,Social Media,2,Yes,Afternoon,150.56548654515606,51,Home & Kitchen,None,No,Digital Wallet,1.0,Yes,Checkout,No,
CUST00060,50,Female,Dubai,Mobile,Paid Search,3,Yes,Evening,8.9,3,Apparel,Toys,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00061,30,Male,Kuwait City,Mobile,Paid Search,1,No,Evening,2.14,3,Books,Electronics,No,Digital Wallet,1.0,Yes,Cart,No,
CUST00062,47,Female,Cairo,Mobile,Organic,4,Yes,Afternoon,44.69,9,Electronics,None,No,BNPL,1.0,Yes,Checkout,No,
CUST00063,40,Male,Dubai,Desktop,Social Media,1,No,Night,32.34,8,Apparel,None,Yes,Digital Wallet,2.0,Yes,None,Yes,129.56
CUST00064,39,Male,Muscat,Mobile,Paid Search,3,Yes,Morning,18.87,7,Grocery,None,No,Credit/Debit Card,5.0,Yes,None,Yes,95.9
CUST00065,26,Male,London,Tablet,Direct,3,Yes,Evening,31.4,5,Books,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00066,41,Female,London,Mobile,Paid Search,4,Yes,Evening,13.65,5,Beauty,None,Yes,Cash on Delivery,,No,Product Page,No,
CUST00067,33,Male,Cairo,Desktop,Email,3,Yes,Morning,28.41,7,Home & Kitchen,None,Yes,Cash on Delivery,4.0,Yes,None,Yes,210.25
CUST00068,65,Female,Sharjah,Desktop,Social Media,2,Yes,Afternoon,14.35,4,Apparel,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00069,29,Male,Abu Dhabi,Tablet,Email,3,Yes,Evening,14.33,5,Apparel,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00070,28,Female,Dubai,Desktop,Paid Search,1,No,Night,9.45,5,Electronics,None,No,Credit/Debit Card,1.0,Yes,None,Yes,394.0
CUST00071,43,Female,Dubai,Mobile,Email,2,Yes,Morning,15.68,5,Sports,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00072,22,Female,Abu Dhabi,Tablet,Paid Search,1,No,Afternoon,16.65,13,Apparel,None,Yes,Credit/Debit Card,2.0,Yes,Checkout,No,
CUST00073,32,Female,Abu Dhabi,Desktop,Social Media,2,Yes,Night,10.09,3,Beauty,Grocery,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00074,37,Female,Dubai,Mobile,Email,4,Yes,Morning,11.62,4,Apparel,Toys,No,Digital Wallet,3.0,Yes,Checkout,No,
CUST00075,38,Female,Abu Dhabi,Desktop,Paid Search,1,No,Evening,16.55,6,Home & Kitchen,None,Yes,Cash on Delivery,2.0,Yes,Payment Gateway,No,
CUST00076,24,Female,Dubai,Desktop,Social Media,1,No,Evening,62.99,13,Home & Kitchen,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00077,47,Male,Dubai,Mobile,Direct,6,Yes,Afternoon,7.56,1,Sports,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00078,53,Male,Abu Dhabi,Mobile,Direct,4,Yes,Evening,9.21,4,Electronics,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00079,37,Male,Riyadh,Desktop,Paid Search,1,No,Night,24.03,6,Apparel,None,Yes,BNPL,,No,Product Page,No,
CUST00080,19,Female,Dubai,Desktop,Paid Search,24,Yes,Evening,25.46,8,Electronics,Sports,Yes,Credit/Debit Card,4.0,Yes,None,Yes,398.66
CUST00081,61,Male,Dubai,Mobile,Paid Search,2,Yes,Evening,9.8,1,Electronics,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00082,60,Female,London,Mobile,Paid Search,1,No,Evening,6.25,3,Home & Kitchen,None,Yes,Digital Wallet,2.0,Yes,Payment Gateway,No,
CUST00083,27,Female,Sharjah,Mobile,Referral,1,No,Evening,17.43,4,Electronics,Home & Kitchen,No,Digital Wallet,,No,Product Page,No,
CUST00084,41,Male,Abu Dhabi,Desktop,Organic,3,Yes,Morning,21.09,6,Electronics,Books,Yes,BNPL,,No,Product Page,No,
CUST00085,59,Male,Dubai,Desktop,Social Media,3,Yes,Night,21.37,5,Books,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00086,33,Other,Abu Dhabi,Mobile,Referral,1,No,Afternoon,10.64,2,Home & Kitchen,None,Yes,BNPL,3.0,Yes,Checkout,No,
CUST00087,45,Male,Dubai,Mobile,Organic,2,Yes,Afternoon,23.13,7,Electronics,None,No,Digital Wallet,,No,Product Page,No,
CUST00088,29,Female,Abu Dhabi,Mobile,Organic,4,Yes,Night,25.39,8,Electronics,None,No,Credit/Debit Card,2.0,Yes,Checkout,No,
CUST00089,43,Male,Sharjah,Desktop,Social Media,1,No,Night,7.32,2,Electronics,Home & Kitchen,Yes,BNPL,1.0,Yes,None,Yes,250.45
CUST00090,34,Female,Cairo,Mobile,Social Media,2,Yes,Night,11.6,3,Home & Kitchen,Grocery,No,Digital Wallet,,No,Product Page,No,
CUST00091,37,Male,Doha,Mobile,Organic,6,Yes,Afternoon,23.07,8,Beauty,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00092,44,Female,Dubai,Mobile,Paid Search,2,Yes,Night,24.53,8,Beauty,Apparel,No,BNPL,3.0,Yes,Cart,No,
CUST00093,39,Female,Dubai,Desktop,Paid Search,1,No,Evening,12.08,5,Electronics,None,No,Credit/Debit Card,1.0,Yes,None,Yes,268.07
CUST00094,48,Male,Abu Dhabi,Mobile,Paid Search,1,No,Night,2.79,1,Beauty,None,Yes,Credit/Debit Card,3.0,Yes,Checkout,No,
CUST00095,70,Male,Dubai,Mobile,Paid Search,1,No,Night,33.09,7,Apparel,Sports,No,Credit/Debit Card,14.0,Yes,Checkout,No,
CUST00096,24,Male,Dubai,Desktop,Organic,2,Yes,Night,35.86,11,Home & Kitchen,None,No,Digital Wallet,3.0,Yes,None,Yes,215.42
CUST00097,42,Other,Kuwait City,Mobile,Organic,7,Yes,Night,20.07,6,Sports,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00098,45,Female,Dubai,Mobile,Social Media,3,Yes,Morning,12.13,2,Apparel,Beauty,No,Credit/Debit Card,,No,Product Page,No,
CUST00099,47,Male,Muscat,Tablet,Paid Search,1,Yes,Evening,22.47,5,Electronics,None,No,Cash on Delivery,2.0,Yes,Checkout,No,
CUST00100,46,Male,Dubai,Mobile,Organic,4,Yes,Afternoon,14.82,4,Books,Electronics,Yes,Cash on Delivery,,No,Product Page,No,
CUST00101,44,Female,Mumbai,Mobile,Paid Search,3,Yes,Evening,28.36,7,Electronics,None,No,Digital Wallet,1.0,Yes,None,Yes,400.01
CUST00102,32,Female,Riyadh,Mobile,Social Media,23,Yes,Night,52.58,11,Apparel,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00103,34,Female,Doha,Desktop,Email,5,Yes,Morning,21.39,7,Beauty,Grocery,Yes,Digital Wallet,3.0,Yes,None,Yes,112.39
CUST00104,33,Male,Dubai,Mobile,Paid Search,2,Yes,Evening,16.24,7,Beauty,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00105,46,Female,Muscat,Desktop,Email,4,Yes,Evening,20.87,9,Sports,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00106,40,Female,Muscat,Mobile,Email,6,Yes,Morning,36.76,10,Electronics,None,No,Cash on Delivery,3.0,Yes,None,Yes,374.6
CUST00107,47,Female,Riyadh,Mobile,Paid Search,1,No,Afternoon,10.0,3,Apparel,None,No,Cash on Delivery,,No,Product Page,No,
CUST00108,35,Female,Sharjah,Desktop,Paid Search,23,Yes,Morning,44.06,12,Electronics,Home & Kitchen,No,Credit/Debit Card,,No,Product Page,No,
CUST00109,40,Female,Doha,Tablet,Referral,1,No,Morning,9.76,3,Home & Kitchen,Grocery,No,Credit/Debit Card,1.0,Yes,Checkout,No,
CUST00110,35,Female,Dubai,Mobile,Paid Search,2,Yes,Evening,7.93,6,Apparel,None,Yes,Credit/Debit Card,3.0,Yes,Payment Gateway,No,
CUST00111,59,Male,Riyadh,Desktop,Email,2,Yes,Afternoon,20.47,5,Beauty,None,Yes,Credit/Debit Card,4.0,Yes,Checkout,No,
CUST00112,59,Female,Muscat,Mobile,Organic,4,Yes,Morning,17.6,5,Electronics,Books,No,Digital Wallet,,No,Product Page,No,
CUST00113,23,Male,Abu Dhabi,Mobile,Paid Search,2,Yes,Night,16.72,3,Electronics,None,No,Digital Wallet,2.0,Yes,None,Yes,413.93
CUST00114,31,Male,Dubai,Mobile,Paid Search,1,No,Evening,9.36,2,Apparel,Beauty,No,Digital Wallet,,No,Product Page,No,
CUST00115,28,Male,Abu Dhabi,Mobile,Social Media,2,Yes,Evening,16.17,4,Grocery,Beauty,No,BNPL,3.0,Yes,Checkout,No,
CUST00116,22,Female,Doha,Mobile,Social Media,1,No,Afternoon,15.04,6,Books,None,No,BNPL,,No,Product Page,No,
CUST00117,51,Male,Dubai,Mobile,Organic,4,Yes,Evening,14.28,4,Toys,None,No,Digital Wallet,1.0,Yes,None,Yes,70.23
CUST00118,50,Male,Dubai,Mobile,Direct,5,Yes,Afternoon,95.29849575807758,16,Apparel,Sports,No,Digital Wallet,4.0,Yes,Checkout,No,
CUST00119,48,Male,Dubai,Mobile,Email,5,Yes,Evening,12.99,4,Electronics,Sports,No,Credit/Debit Card,,No,Product Page,No,
CUST00120,42,Male,Kuwait City,Desktop,Paid Search,2,Yes,Evening,69.18,13,Apparel,Sports,No,Credit/Debit Card,,No,Product Page,No,
CUST00121,42,Male,Dubai,Tablet,Direct,3,Yes,Morning,17.83,4,Beauty,Apparel,Yes,Digital Wallet,3.0,Yes,Cart,No,
CUST00122,55,Female,Doha,Desktop,Email,2,Yes,Night,32.89,9,Electronics,None,No,BNPL,,No,Product Page,No,
CUST00123,39,Female,Abu Dhabi,Mobile,Direct,5,Yes,Evening,12.98,2,Apparel,Sports,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00124,29,Male,Kuwait City,Mobile,Social Media,1,No,Evening,6.85,1,Electronics,Sports,No,Cash on Delivery,,No,Product Page,No,
CUST00125,47,Female,Mumbai,Desktop,Email,5,Yes,Night,20.715,6,Home & Kitchen,Beauty,No,BNPL,,No,Product Page,No,
CUST00126,42,Female,Dubai,Tablet,Organic,3,Yes,Afternoon,23.72,5,Electronics,Books,Yes,BNPL,,No,Product Page,No,
CUST00127,25,Male,Abu Dhabi,Mobile,Social Media,1,No,Night,1.51,1,Electronics,Home & Kitchen,No,Digital Wallet,,No,Product Page,No,
CUST00128,34,Female,Muscat,Desktop,Referral,1,No,Evening,61.41,11,Apparel,Toys,No,Credit/Debit Card,,No,Product Page,No,
CUST00129,37,Other,Dubai,Tablet,Paid Search,1,No,Afternoon,21.98,5,Apparel,None,No,Credit/Debit Card,2.0,Yes,None,Yes,105.72
CUST00130,55,Male,Dubai,Desktop,Paid Search,1,No,Night,11.63,4,Home & Kitchen,None,Yes,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00131,35,Male,Muscat,Mobile,Direct,4,Yes,Evening,23.6,4,Beauty,None,No,Cash on Delivery,3.0,Yes,Checkout,No,
CUST00132,30,Female,Mumbai,Mobile,Paid Search,2,Yes,Afternoon,18.07,5,Electronics,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00133,50,Female,Riyadh,Mobile,Direct,6,Yes,Night,21.37,5,Sports,Electronics,No,Credit/Debit Card,,No,Product Page,No,
CUST00134,32,Male,Dubai,Mobile,Organic,3,Yes,Evening,12.5,4,Electronics,None,No,Digital Wallet,,No,Product Page,No,
CUST00135,23,Female,Abu Dhabi,Mobile,Paid Search,3,Yes,Evening,150.56548654515606,31,Apparel,Toys,No,Digital Wallet,,No,Product Page,No,
CUST00136,43,Male,Dubai,Mobile,Social Media,1,No,Night,15.51,7,Home & Kitchen,Beauty,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00137,18,Female,Kuwait City,Desktop,Email,3,Yes,Morning,43.6,8,Grocery,Beauty,Yes,BNPL,,No,Product Page,No,
CUST00138,40,Female,Kuwait City,Mobile,Organic,4,Yes,Morning,20.12,4,Home & Kitchen,Toys,No,Credit/Debit Card,,No,Product Page,No,
CUST00139,45,Male,Cairo,Mobile,Direct,4,Yes,Morning,20.56,6,Electronics,None,No,Digital Wallet,,No,Product Page,No,
CUST00140,45,Female,Dubai,Mobile,Direct,6,Yes,Night,8.43,3,Home & Kitchen,None,No,Digital Wallet,,No,Product Page,No,
CUST00141,42,Female,Riyadh,Desktop,Social Media,1,No,Afternoon,17.54,6,Apparel,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00142,34,Male,Dubai,Desktop,Paid Search,2,Yes,Afternoon,28.64,6,Home & Kitchen,None,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00143,29,Female,Abu Dhabi,Mobile,Direct,5,Yes,Afternoon,120.26374916962637,23,Electronics,Books,Yes,Digital Wallet,1.0,Yes,None,Yes,189.98
CUST00144,23,Female,Kuwait City,Desktop,Social Media,2,Yes,Evening,14.27,2,Home & Kitchen,None,No,Digital Wallet,,No,Product Page,No,
CUST00145,45,Male,Dubai,Mobile,Paid Search,2,Yes,Evening,8.8,5,Electronics,Books,No,Credit/Debit Card,,No,Product Page,No,
CUST00146,37,Female,Dubai,Mobile,Email,4,Yes,Night,12.15,3,Beauty,None,Yes,Cash on Delivery,,No,Product Page,No,
CUST00147,31,Male,Riyadh,Desktop,Direct,4,Yes,Afternoon,12.6,3,Home & Kitchen,Grocery,No,BNPL,,No,Product Page,No,
CUST00148,24,Male,London,Mobile,Organic,4,Yes,Afternoon,26.13,9,Electronics,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00149,35,Male,Kuwait City,Mobile,Social Media,1,No,Night,10.01,4,Books,None,No,Digital Wallet,2.0,Yes,None,Yes,44.15
CUST00150,45,Male,Kuwait City,Mobile,Organic,23,Yes,Afternoon,15.79,4,Home & Kitchen,None,No,Digital Wallet,,No,Product Page,No,
CUST00151,43,Female,Sharjah,Mobile,Organic,2,Yes,Night,67.51,13,Apparel,None,No,Credit/Debit Card,1.0,Yes,Payment Gateway,No,
CUST00152,29,Male,Dubai,Mobile,Direct,4,Yes,Evening,8.81,1,Electronics,None,Yes,Digital Wallet,14.0,Yes,Payment Gateway,No,
CUST00153,34,Female,Abu Dhabi,Desktop,Referral,2,Yes,Afternoon,25.18,9,Beauty,None,Yes,Credit/Debit Card,3.0,Yes,Payment Gateway,No,
CUST00154,29,Male,Sharjah,Mobile,Social Media,1,No,Night,15.9,7,Apparel,None,Yes,BNPL,,No,Product Page,No,
CUST00155,24,Female,Doha,Tablet,Email,3,Yes,Afternoon,24.95,8,Books,None,No,Digital Wallet,10.0,Yes,None,Yes,101.47
CUST00156,57,Female,Riyadh,Mobile,Referral,2,Yes,Afternoon,3.85,3,Electronics,None,Yes,BNPL,2.0,Yes,Cart,No,
CUST00157,32,Female,Abu Dhabi,Mobile,Paid Search,1,No,Afternoon,33.65,9,Electronics,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00158,51,Male,Dubai,Mobile,Paid Search,1,No,Night,15.73,3,Grocery,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00159,34,Male,Dubai,Mobile,Direct,4,Yes,Evening,27.37,7,Grocery,Toys,Yes,Digital Wallet,,No,Product Page,No,
CUST00160,44,Male,Doha,Desktop,Paid Search,2,Yes,Afternoon,33.98,7,Electronics,Books,No,BNPL,,No,Product Page,No,
CUST00161,46,Female,Riyadh,Mobile,Paid Search,1,No,Night,47.99,7,Beauty,Apparel,No,Digital Wallet,,No,Product Page,No,
CUST00162,40,Male,Doha,Mobile,Paid Search,1,No,Evening,5.48,4,Electronics,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00163,44,Female,Abu Dhabi,Desktop,Social Media,2,Yes,Evening,12.74,4,Beauty,None,No,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00164,44,Female,Dubai,Mobile,Paid Search,1,No,Evening,7.65,1,Books,Grocery,No,Credit/Debit Card,,No,Product Page,No,
CUST00165,48,Male,Kuwait City,Desktop,Social Media,1,No,Night,8.83,2,Electronics,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00166,25,Female,Kuwait City,Desktop,Referral,1,No,Evening,40.08,11,Electronics,Home & Kitchen,No,Digital Wallet,2.0,Yes,Cart,No,
CUST00167,29,Female,Sharjah,Mobile,Organic,3,Yes,Morning,12.33,4,Electronics,Books,No,Credit/Debit Card,,No,Product Page,No,
CUST00168,62,Female,Riyadh,Mobile,Organic,2,Yes,Morning,18.81,2,Electronics,None,Yes,Credit/Debit Card,,No,Product Page,No,
CUST00169,23,Male,Abu Dhabi,Mobile,Paid Search,1,No,Evening,3.3,1,Electronics,None,No,Digital Wallet,,No,Product Page,No,
CUST00170,31,Male,Doha,Desktop,Email,4,Yes,Evening,33.79,11,Sports,Apparel,No,Credit/Debit Card,3.0,Yes,None,Yes,167.81
CUST00171,18,Male,Muscat,Mobile,Email,2,Yes,Evening,21.11,5,Apparel,Sports,Yes,Cash on Delivery,2.0,Yes,Cart,No,
CUST00172,42,Female,Doha,Mobile,Organic,3,Yes,Night,30.81,9,Home & Kitchen,Grocery,No,Digital Wallet,,No,Product Page,No,
CUST00173,50,Female,Sharjah,Mobile,Paid Search,1,No,Evening,21.34,8,Sports,None,No,Digital Wallet,,No,Product Page,No,
CUST00174,70,Male,Sharjah,Mobile,Social Media,2,Yes,Night,5.1,1,Home & Kitchen,None,Yes,Digital Wallet,3.0,Yes,Checkout,No,
CUST00175,51,Female,Riyadh,Mobile,Email,2,Yes,Morning,102.95864830933276,51,Apparel,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00176,31,Male,Doha,Desktop,Organic,2,Yes,Afternoon,20.64,5,Electronics,Sports,Yes,Digital Wallet,,No,Product Page,No,
CUST00177,21,Female,Riyadh,Mobile,Email,2,Yes,Afternoon,23.52,5,Home & Kitchen,None,No,Cash on Delivery,3.0,Yes,Cart,No,
CUST00178,49,Other,Riyadh,Tablet,Organic,7,Yes,Afternoon,14.74,5,Electronics,None,No,Cash on Delivery,,No,Product Page,No,
CUST00179,34,Female,Dubai,Desktop,Social Media,2,Yes,Night,58.51,12,Sports,None,Yes,BNPL,3.0,Yes,Cart,No,
CUST00180,29,Female,London,Mobile,Email,5,Yes,Night,67.62,15,Apparel,Sports,Yes,Digital Wallet,,No,Product Page,No,
CUST00181,54,Male,Kuwait City,Mobile,Paid Search,1,No,Afternoon,10.02,4,Beauty,Grocery,Yes,Credit/Debit Card,2.0,Yes,Cart,No,
